ego,alter
G59,G13
G59,G53
G59,G17
G59,G20
G59,G19
G59,G73
G59,G40
G59,G74
G59,G75
G59,G76
G59,G77
G59,G78
G59,G79
G13,G17
G13,G59
G13,G61
G13,G20
G13,G8
G13,G80
G13,G81
G72,G61
G72,G82
G72,G40
G72,G59
G72,G13
G72,G20
G17,G20
G17,G40
G20,G83
G20,G84
G20,G85
G20,G40
G20,G86
G20,G44
G20,G64
G9,G40
G20,G8
G20,G57
G20,G51
G17,G7
G17,G65
G9,G35
G21,G46
G4,G29
G48,G56
G48,G50
G43,G23
G43,G54
G43,G27
G43,G1
G43,G33
G43,G38
G17,G5
G9,G5
G41,G5
G41,G10
G60,G36
G60,G37
G6,G66
G71,G66
G60,G11
G71,G11
G71,G42
G71,G63
G16,G18
G48,G20
G14,G20
G19,G20
G20,G47
G48,G47
G60,G47
G19,G47
G19,G53
G48,G61
G19,G61
G19,G34
G19,G68
G19,G67
G19,G62
G19,G26
G69,G49
G19,G49
G69,G22
G19,G22
G14,G13
G19,G13
G20,G48
G17,G48
G14,G48
G59,G48
G20,G17
G48,G17
G14,G17
G19,G17
G66,G31
G6,G70
G66,G70
G66,G55
G66,G12
G66,G15
G29,G25
G4,G2
G29,G2
G29,G52
G29,G32
G29,G30
G29,G58
G29,G28
G8,G45
G8,G39
G8,G24
G8,G3
